use,year_built,heated_sqft,site_address,city,zip,owner,owner_addr1,owner_addr2,owner_addr3,assessed_value,pin
OFC GROSS,1999,124800.0,200 REGENCY WOODS PL,CARY,27518,"U.S. REIF 200 LUCENT LANE NC, LLC ",1270 SOLDIERS FIELD RD,BOSTON MA 02135-1003,,17554653,0761191145
OFC GROSS,1996,122030.0,111 CORNING RD,CARY,27518,EGP CARY LLC ,EASTERLY GOVT PROPERIES INC,2001 K ST NW STE 775N,WASHINGTON DC 20006-1037,22342825,0772889725
OFC GROSS,1997,120453.0,7025 KIT CREEK RD,,27560,CISCO SYSTEMS INC ,PROPERTY TAX ALLIANCE INC,PO BOX 311346,NEW BRAUNFELS TX 78131-1346,19751041,0736759844
FLEX WHSE,1986,118775.0,100 PERIMETER PARK DR,MORRISVILLE,27560,TGA KING EASTRIDGE OWNER LLC ,800 BOYLSTON ST STE 1570,BOSTON MA 02199-8203,,22247222,0756360227
MED OFC GROSS,1989,116657.0,10 SUNNYBROOK RD,RALEIGH,27610,WAKEMED ,3000 NEW BERN AVE,RALEIGH NC 27610-1231,,20517865,1724216297
CHURCH,1996,116643.0,804 HIGH HOUSE RD,CARY,27513,SAINT MICHAEL THE ARCHANGEL CATHOLIC PARISH OF CAR ,804 HIGH HOUSE RD,CARY NC 27513-3507,,21946897,0754311542
SCHOOL,1986,114288.0,2450 LAURA DUNCAN RD,CARY,27523,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,18075711,0753115217
HR OFFC,1988,113724.0,4000 WESTCHASE BLVD,RALEIGH,27607,F7 WEST LLC ,THE BROOKDALE GROUP,3455 PEACHTREE RD NE STE 300,ATLANTA GA 30326-4234,18410443,0784674144
OFC GROSS,1997,113268.0,1200 CRESCENT GREEN,CARY,27518,GH CRESCENT GREEN INC ,ATTN: JOHN GINLEY III ESQ,3433 PEACHTREE RD NE,ATLANTA GA 30326-1112,16050622,0762414813
OFC GROSS,1983,113120.0,4924 GREEN RD,RALEIGH,27616,MILENA USA LLC ,16870 W BERNARDO DR STE 400,SAN DIEGO CA 92127-1678,,12154895,1726258977
FLEX WHSE,1986,112240.0,3209 GRESHAM LAKE RD,RALEIGH,27615,TL LINCOLN PARK NORTH PROPERTY OWNER LP LIMITED PA ,TOWN LANE REAL ESTATE OPPORTUNITIES,200 PARK AVE RM 803,NEW YORK NY 10166-0025,16433366,1727472326
HR OFFC,2004,111621.0,1751 VARSITY DR,RALEIGH,27606,BOARD OF TRUSTEES OF THE ENDOWMENT FUND OF NC STATE UNIVERSITY,PO BOX 7001,RALEIGH NC 27601,,19726506,0793575071
OFC GROSS,2000,111465.0,2000 CENTREGREEN WAY,CARY,27513,HIGHWOODS REALTY LP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,20246946,0755958530
OFC GROSS,1985,111000.0,6601 SIX FORKS RD,RALEIGH,27615,NORTHCHASE AT MIDTOWN LLC ,2900 HIGHWOODS BLVD STE 200,RALEIGH NC 27604-1036,,18108224,1707612719
OFC GROSS,1999,110264.0,1201 EDWARDS MILL RD,RALEIGH,27607,1201 EDWARDS MILL ROAD LLC ,TRI PROPERTIES,5425 PAGE RD STE 100,DURHAM NC 27703-7009,19532606,0784055770
SCHOOL,2005,109029.0,1520 E MILLBROOK RD,RALEIGH,27609,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,26936483,1716543166
OFC GROSS,2000,108855.0,400 REGENCY FOREST DR,CARY,27518,EPIC REGENCY LLC ,EPIC LLC,15 WATTS ST FL 5,NEW YORK NY 10013-1677,19744105,0762028198
SCHOOL,2002,108480.0,301 S PERSON ST,RALEIGH,27601,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,70664316,1703874682
HEALTH,1992,108209.0,410 ASHE AVE,RALEIGH,27606,RALEIGH CITY OF ,PO BOX 590,RALEIGH NC 27602-0590,,46838467,0793997529
FLEX WHSE,1994,106980.0,507 AIRPORT BLVD,MORRISVILLE,27560,DURHAM PERIMETER PARK 1 LLC ,60 STATE ST STE 3500,BOSTON MA 02109-1812,,20384098,0756039676
FLEX WHSE,2001,106800.0,639 DAVIS DR,DURHAM,27560,DURHAM KEYSTONE TECH 11 AND 12 LLC ,60 STATE ST STE 3500,BOSTON MA 02109-1812,,18774254,0747100467
FLEX WHSE,1998,106244.0,160 PHARMA DR,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,19657706,0755589312
OFC GROSS,1987,105907.0,500 GREGSON DR,CARY,27511,SERAC 500 GREGSON RALEIGH OWNER LLC ,5051 WESTHEIMER RD STE 1700,HOUSTON TX 77056-5721,,15200264,0752419983
OFC GROSS,1999,105900.0,100 REGENCY FOREST DR,CARY,27518,AKF3 AF4 REGENCY INTERCHANGE LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,14944295,0762116334
SCHOOL,1998,105792.0,3707 MARSH CREEK RD,RALEIGH,27604,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,26571633,1725640109
CLUB HSE,1996,105392.0,6612 FALLS OF NEUSE RD,RALEIGH,27615,NORTH RIDGE COUNTRY CLUB INC ,6612 FALLS OF NEUSE RD,RALEIGH NC 27615-6815,,13904719,1717337989
SCHOOL,2003,103924.0,100 LAWSON RIDGE RD,KNIGHTDALE,27545,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,22765495,1755306068
CHURCH,1987,103554.0,110 S SALEM ST,APEX,27502,APEX BAPTIST CHURCH INC ,110 S SALEM ST,APEX NC 27502-1823,,15035812,0742307837
SCHOOL,1986,103174.0,6600 JOHNSON POND RD,FUQUAY-VARINA,27526,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,27405567,0677148590
SCHOOL,2003,102827.0,1050 TOWN HALL DR,MORRISVILLE,27560,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,35263311,0745795775
SCHOOL,1993,102726.0,821 CHARTER SCHOOL WAY,ZEBULON,27597,EAST WAKE FIRST CHARTER SCHOOL ,821 CHARTER SCHOOL WAY,ZEBULON NC 27597-2777,,24551003,2705580437
OFC GROSS,1997,102600.0,200 REGENCY FOREST DR,CARY,27518,AKF3 AF4 REGENCY INTERCHANGE LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,13584052,0762119912
OFC GROSS,2002,102375.0,801 CORPORATE CENTER DR,RALEIGH,27607,HRLP RALEIGH LP LTD PTNRP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,18845994,0774639854
HR OFFC,1986,102279.0,4020 WESTCHASE BLVD,RALEIGH,27607,F7 WEST LLC ,THE BROOKDALE GROUP,3455 PEACHTREE RD NE STE 300,ATLANTA GA 30326-4234,16551126,0784579360
OFC GROSS,1981,102258.0,5171 GLENWOOD AVE,RALEIGH,27612,ALPHA BETA CENTER LLC ,3700 GLENWOOD AVE STE 430,RALEIGH NC 27612-5530,,11856466,0796126886
OFC GROSS,1997,101704.0,5520 DILLARD DR,CARY,27518,"THE CRIB CROSSROADS, LLC ",KROLL,PO BOX 2629,ADDISON TX 75001-3040,20546076,0772898912
FLEX WHSE,1981,101432.0,5205 CAPITAL BLVD,RALEIGH,27616,AF5 RALEIGH LIGHT INDUSTRIAL LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,14652713,1726375088
SCHOOL,2005,101316.0,3829 FORESTVILLE RD,RALEIGH,27616,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,24329005,1747434096
NURSG HM,2002,101312.0,5201 CLARKS FORK DR,RALEIGH,27616,5201 CLARKS FORK DRIVE LLC ,5201 CLARKS FORK DR,RALEIGH NC 27616-5868,,9363337,1737196344
SCHOOL,1995,101311.0,1101 MAXWELL DR,,27603,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,25976162,1701248190
SCHOOL,1988,101215.0,321 CHAPANOKE RD,RALEIGH,27603,WAKE TECHNICAL COMMUNITY COLLEGE ,9101 FAYETTEVILLE RD,RALEIGH NC 27603-5655,,23479626,1702425673
FLEX WHSE,1995,100500.0,5151 MCCRIMMON PKWY,MORRISVILLE,27560,DURHAM PERIMETER PARK 5 LLC ,60 STATE ST STE 3500,BOSTON MA 02109-1812,,23276381,0756034647
RESEARCH,1991,100411.0,1021 MAIN CAMPUS DR,RALEIGH,27606,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,18578428,0793556075
OFC GROSS,1994,100256.0,110 CORNING RD,CARY,27518,EGP CARY LLC ,EASTERLY GOVT PROPERIES INC,2001 K ST NW STE 775N,WASHINGTON DC 20006-1037,16424113,0772880949
OFC GROSS,2000,99605.0,4000 CENTREGREEN WAY,CARY,27513,HIGHWOODS REALTY LP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,18839075,0765056371
MED OFC GROSS,1989,98544.0,3100 DURALEIGH RD,RALEIGH,27612,HTA RALEIGH LLC ,3310 W END AVE STE 700,NASHVILLE TN 37203-1097,,23913169,0785743871
SCHOOL,1976,98175.0,1601 LYNN RD,RALEIGH,27612,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,27940901,0797822044
FLEX WHSE,1996,97546.0,2101 WESTINGHOUSE BLVD,RALEIGH,27604,TL LINCOLN PARK CENTRAL PROPERTY OWNER LP LIMITED  ,TOWN LANE REAL ESTATE OPPORTUNITIES,200 PARK AVE RM 803,NEW YORK NY 10166-0025,12204860,1714999227
SCHOOL,1996,97111.0,6119 CREEDMOOR RD,RALEIGH,27612,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,17360636,0797415029
HR OFFC,1986,96928.0,5400 GLENWOOD AVE,RALEIGH,27612,SALTMEADOW LLC ,THE RUNNYMEDE CORPORATION,600 22ND ST STE 400,VIRGINIA BEACH VA 23451-4092,15779812,0796140891
OFC GROSS,2004,96904.0,620 CROSSROADS BLVD,CARY,27518,EPIC GAMES INC ,KROLL,PO BOX 2629,ADDISON TX 75001-3040,20707076,0773900278
FLEX WHSE,1988,95971.0,6001 CHAPEL HILL RD,RALEIGH,27607,TANAGER PROPERTIES ,1205 KINGS GRANT DR,RALEIGH NC 27614-9355,,17111615,0784115618
FLEX WHSE,1985,95782.0,2640 YONKERS RD,RALEIGH,27604,FIRST ASSEMBLY OF GOD OF RALEIGH INC ,2660 YONKERS RD,RALEIGH NC 27604-3228,,9072497,1714981077
OFC GROSS,2005,95176.0,8010 ARCO CORPORATE DR,RALEIGH,27617,BRIER CREEK 1 & 2 LLC ,AMERICAN ASSET CORPORATION,5950 FAIRVIEW RD STE 800,CHARLOTTE NC 28210-3194,17002746,0768553790
OFC GROSS,2005,95176.0,8020 ARCO CORPORATE DR,RALEIGH,27617,BRIER CREEK 1 & 2 LLC ,AMERICAN ASSET CORPORATION,5950 FAIRVIEW RD STE 800,CHARLOTTE NC 28210-3194,17212185,0768551384
OFC GROSS,1986,95088.0,5580 CENTERVIEW DR,RALEIGH,27606,BUILDERS FIRST LLC ,5580 CENTERVIEW DR,RALEIGH NC 27606-3569,,13864709,0773918799
OFC GROSS,1986,95088.0,5540 CENTERVIEW DR,RALEIGH,27606,BMIC REAL ESTATE LLC ,BUILDERS MUTUAL INSURANCE COMPANY,5580 CENTERVIEW DR STE 400,RALEIGH NC 27606-3569,14142463,0773924812
OFC GROSS,2001,95020.0,15401 WESTON PKWY,CARY,27513,15501 WESTON LLC ,15501 WESTON PKWY,CARY NC 27513-8636,,12320250,0755403907
OFC GROSS,1996,94954.0,160 RUSH ST,RALEIGH,27603,DUKE ENERGY PROGRESS INC ,TAX DEPT - DEC41B,550 S TRYON ST,CHARLOTTE NC 28202-4200,16858720,1702651082
LIBRARY,1986,94876.0,4020 CARYA DR,RALEIGH,27610,WAKE COUNTY ,WAKE COUNTY ATTORNEY'S OFFICE,PO BOX 550,RALEIGH NC 27602-0550,31905256,1723765231
OFC GROSS,1995,94844.0,3200 ATLANTIC AVE,RALEIGH,27604,ARBORS OFFICE PARK LLC ,TRINITY PARTNERS,3020 CARRINGTON MILL BLVD STE 425,MORRISVILLE NC 27560-5434,14646596,1715659331
GYM,2001,94755.0,2500 WAKEFIELD PINES DR,RALEIGH,27614,CAPITAL AREA YMCA INC ,801 CORPORATE CENTER DR STE 200,RALEIGH NC 27607-5243,,11728557,1729886955
OFC GROSS,1994,94717.0,1600 PERIMETER PARK DR,MORRISVILLE,27560,PERIMETER PARK OFFICES LP ,5 BRYANT PARK FL 28,NEW YORK NY 10018-0664,,13717672,0756066024
SCHOOL,2005,94615.0,3925 BARWELL RD,RALEIGH,27610,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,23144092,1732313627
SCHOOL,1997,94438.0,1601 TIMBER DR,GARNER,27529,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,22222034,1700768135
REST  HM,2000,94093.0,615 SPRING FOREST RD,RALEIGH,27609,SZR NORTH HILLS LP ,SUNRISE SENIOR LIVING REIT,7900 WESTPARK DR FL 7,MC LEAN VA 22102-4242,17377546,1717100197
OFC GROSS,1995,93864.0,1100 CRESCENT GREEN,CARY,27518,GH CRESCENT GREEN INC ,ATTN: JOHN GINLEY III ESQ,3343 PEACHTREE RD NE,ATLANTA GA 30326-1085,17082363,0762419926
FLEX WHSE,1983,92894.0,5240 GREENS DAIRY RD,RALEIGH,27616,AF5 RALEIGH LIGHT INDUSTRIAL LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,12640783,1726573863
OFC GROSS,1985,92676.0,2840 PLAZA PL,RALEIGH,27612,CROSSPOINTE II LIMITED PARTNERSHIP ,2840 PLAZA PL STE 100,RALEIGH NC 27612-6342,,11938043,0796378225
OFC GROSS,1995,92400.0,6501 WESTON PKWY,CARY,27513,6501 WESTON LLC ,TRI PROPERTIES,5425 PAGE RD STE 100,DURHAM NC 27703-7009,22291361,0765263421
CHURCH,2004,91938.0,821 BUCK JONES RD,RALEIGH,27606,HOPE COMMUNITY CHURCH OF CARY INC ,821 BUCK JONES RD,RALEIGH NC 27606-3318,,21255820,0773759573
OFC GROSS,1990,91252.0,1000 BIRCH RIDGE DR,RALEIGH,27610,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,11247858,1723436599
SCHOOL,1995,90540.0,10401 PENNY RD,CARY,27606,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,14033621,0761444743
SCHOOL,1991,90518.0,700 TINGEN RD,APEX,27502,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,17943621,0741272284
SCHOOL,2003,89563.0,400 KILDAIRE FARM RD,CARY,27511,WAKE COUNTY BOARD OF EDUCATION ,RE SVCS SENIOR DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,25430519,0763497245
FLEX WHSE,1987,89503.0,3100 SPRING FOREST RD,RALEIGH,27616,"FFV NC RALEIGH, LLC ",PO BOX 130339,CARLSBAD CA 92013-0339,,13908356,1726168085
SCHOOL,1983,89350.0,109 RIDGE ST,KNIGHTDALE,27545,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,16179382,1754406672
SCHOOL,1999,88972.0,110 MIDDLE CREEK PARK AVE,CARY,27539,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,20946796,0679184922
OFC GROSS,1983,88964.0,801 HILLSBOROUGH ST,RALEIGH,27603,STATE EMPLOYEES CREDIT UNION INC ,801 HILLSBOROUGH STREET,PO BOX 26807,RALEIGH NC 27611-6807,10835463,1703395105
SCHOOL,2004,88242.0,2100 MORRISVILLE PKWY,CARY,27519,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,33728266,0735914481
SCHOOL,2002,88053.0,1127 CHALK RD,WAKE FOREST,27587,FRANKLIN ACADEMY INC THE ,1127 CHALK RD,WAKE FOREST NC 27587-9150,,18677249,1850137022
FLEX WHSE,2001,87881.0,3452 APEX PEAKWAY,APEX,27502,PEAKWAY DEVELOPMENT LLC ,PO BOX 1798,APEX NC 27502-2798,,18061142,0741456026
OFC GROSS,1996,87640.0,110 MACALYSON CT,CARY,27511,SIEMENS MEDICAL SOLUTIONS USA INC ,"DUCHARME, MCMILLEN & ASSOC",PO BOX 80615,INDIANAPOLIS IN 46280-0615,11248426,0752827744
OFC GROSS,1992,86848.0,319 CHAPANOKE RD,RALEIGH,27603,AIS PROPERTIES LLC ,319 CHAPANOKE RD,RALEIGH NC 27603-3710,,8943373,1702521740
SCHOOL,1999,86608.0,6116 OLD JENKS RD,APEX,27523,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,22323261,0743406194
SCHOOL,1998,86168.0,291 LILES DEAN RD,,27591,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,17967170,1784139394
SCHOOL,1997,85814.0,2001 LAKE BOONE TRL,RALEIGH,27607,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,24812041,0795414581
CHURCH,1984,84925.0,400 NEWTON RD,RALEIGH,27615,THE KING'S CHAPEL OF RALEIGH INC ,400 NEWTON RD,RALEIGH NC 27615-6210,,22380650,1707641501
FLEX WHSE,1989,84640.0,1100 PERIMETER PARK DR,MORRISVILLE,27560,NR PERIMETERS EDGE LP LIMITED PARTNERSHIP ,NUVEEN REAL ESTATE,801 BRICKWELL AVE STE 2310,MIAMI FL 33131,17173909,0756152256
OFC GROSS,2001,83917.0,2600 SUMNER BLVD,RALEIGH,27616,TL SUMNER BUSINESS PARK PROPERTY OWNER LP LIMITED  ,TOWN LANE REAL ESTATE OPPORTUNITIES,200 PARK AVE RM 803,NEW YORK NY 10166-0025,9561713,1727122748
OFC GROSS,1998,83896.0,313 CHAPANOKE RD,RALEIGH,27603,STEPHENS ENTERPRISES LLC ,319 CHAPANOKE RD STE 102,RALEIGH NC 27603-3433,,8888888,1702524656
SCHOOL,1985,83654.0,3355 WENDELL BLVD,WENDELL,27591,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,11874407,1784611398
OFC GROSS,2000,83422.0,5400 TRINITY RD,RALEIGH,27607,ALIDADE PALISADES I LLC ,GEOFFREY R LANGDON,40900 WOODWARD AVE STE 250,BLOOMFIELD HILLS MI 48304-5119,14016165,0774976032
SCHOOL,1983,83419.0,700 PROCTOR ST,ZEBULON,27597,WAKE CNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,16852230,2706116112
SCHOOL,2003,83208.0,1651 N MCLAURIN LN,FUQUAY-VARINA,27526,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,23906407,0667785322
FLEX WHSE,2001,82836.0,2500 SUMNER BLVD,RALEIGH,27616,TL SUMNER BUSINESS PARK PROPERTY OWNER LP LIMITED  ,TOWN LANE REAL ESTATE OPPORTUNITIES,200 PARK AVE RM 803,NEW YORK NY 10166-0025,16544498,1727133207
OFC GROSS,1993,82607.0,1400 WIMBERLY RD,,27523,CARY TOWN OF APEX TOWN OF,REAL ESTATE DEPT TOWN OF CARY,PO BOX 8005,CARY NC 27512-8005,30642786,0722488535
OFC GROSS,1998,82245.0,1300 CRESCENT GREEN,CARY,27518,GH CRESCENT GREEN INC ,ATTN: JOHN GINLEY III ESQ,3343 PEACHTREE RD NE,ATLANTA GA 30326-1085,14107744,0762329191
SCHOOL,1999,82132.0,5993 YATES MILL POND RD,,27606,WAKE COUNTY BOARD OF EDUCATION (CONSENT JUDGMENT),RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,20642153,0782033621
SCHOOL,2003,82132.0,5415 HIGHCROFT DR,CARY,27519,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,27098172,0734463377
SCHOOL,2003,82132.0,6801 TURNER CREEK RD,CARY,27519,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,27137441,0733751958
SCHOOL,1999,81988.0,8401 WILD WOOD FOREST DR,RALEIGH,27616,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,21464638,1738209515
SCHOOL,1981,81636.0,5500 WAKE ACADEMY DR,,27603,WAKE CHRISTIAN ACADEMY INC ,5500 WAKE ACADEMY DR,RALEIGH NC 27603-4120,,13147120,0791714474
SCHOOL,1999,81485.0,2700 LOUIS STEPHENS DR,CARY,27519,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,20247195,0744175154
OFC GROSS,1985,81090.0,3600 GLENWOOD AVE,RALEIGH,27612,GST INVESTMENTS LLC ,HIGHWOODS PROPERTIES,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,13705425,0795961818
OFC GROSS,1995,80374.0,1500 PERIMETER PARK DR,MORRISVILLE,27560,PERIMETER PARK OFFICES LP ,5 BRYANT PARK FL 28,NEW YORK NY 10018-0664,,12394603,0756059486
OFC GROSS,1991,80200.0,5625 DILLARD DR,CARY,27518,EGP CARY LLC ,EASTERLY GOVT PROPERIES INC,2001 K ST NW STE 775N,WASHINGTON DC 20006-1037,12051718,0772892538
OFC GROSS,1997,79834.0,1700 PERIMETER PARK DR,MORRISVILLE,27560,PERIMETER PARK OFFICES LP ,5 BRYANT PARK FL 28,NEW YORK NY 10018-0664,,12470590,0756047824
OFC GROSS,1998,79434.0,7001 WESTON PKWY,CARY,27513,HIGHWOODS FORSYTH LIMITED PRTNSHP ,150 FAYETTEVILLE ST STE 1400,RALEIGH NC 27601-2956,,13347214,0765166379
OFC GROSS,1980,78976.0,5000 FALLS OF NEUSE RD,RALEIGH,27609,ONG 5000 FALLS OF NEUSE LLC ,2509 VICTORIA PARK LN,RALEIGH NC 27614-6858,,11890938,1716444421
OFC GROSS,1998,78860.0,700 SPRING FOREST RD,RALEIGH,27609,LAKE PARTNERS LLC ,CAPITAL ASSOCIATES,1501 SUNRISE AVE STE 100,RALEIGH NC 27608-2689,12615178,1716193752
FLEX WHSE,1998,78775.0,14001 WESTON PKWY,CARY,27513,COC 14001 WESTON LLC ,110 MACKENAN DR,CARY NC 27511-7901,,13769735,0755639684
CHURCH,2001,78409.0,4309 AUBURN KNIGHTDALE RD,GARNER,27610,SPRINGFIELD BAPTIST CHURCH ,4309 AUBURN KNIGHTDALE RD,RALEIGH NC 27610-8221,,22266190,1730686666
OFC GROSS,1985,78400.0,4110 WAKE FOREST RD,RALEIGH,27609,UNITED STATES POSTAL SERVICE ,PO BOX 8601,PHILADELPHIA PA 19197-0001,,14010268,1715499805
OFC GROSS,2001,78254.0,2100 GATEWAY CENTRE BLVD,CARY,27560,CPVF IV 2100 GATEWAY LLC ,1301 S MOPAC EXPY STE 125,AUSTIN TX 78746-7085,,16647800,0756837100
OFC GROSS,1998,77944.0,4515 FALLS OF NEUSE RD,RALEIGH,27609,NORTH SOMERSET LLC ,PO BOX 31763,RALEIGH NC 27622-1763,,8704639,1716414944
OFC GROSS,1986,77891.0,9216 BAILEYWICK RD,RALEIGH,27615,"YOUNG MEN'S CHRISTIAN ASSOC OF THE TRIANGLE AREA,  ",801 CORPORATE CENTER DR STE 200,RALEIGH NC 27607-5243,,19704200,1708154632
OFC GROSS,1999,77864.0,2803 SLATER RD,MORRISVILLE,27560,JAMES R GLIDEWELL DENTAL CERAMICS INC ,2201 DUPONT DR,IRVINE CA 92612-1515,,13956577,0756290136
OFC GROSS,1985,77561.0,900 RIDGEFIELD DR,RALEIGH,27609,RL 14 NC LIMITED PARTNERSHIP LIMITED PARTNERSHIP ,HOLD-THYSSEN INC,301 S NEW YORK AVE STE 200,WINTER PARK FL 32789-4273,16215063,1716199720
CHURCH,1991,77354.0,100 LOCHMERE DR W,CARY,27518,RESURRECTION LUTHERN CHURCH ,100 W LOCHMERE DR,CARY NC 27518-9129,,15487347,0762506508
OFC GROSS,1975,76990.0,416 DOROTHEA DR,RALEIGH,27601,HOUSING AUTH CITY OF RALEIGH ,900 HAYES ST,RALEIGH NC 27604-1462,,9815805,1703457939
OFC GROSS,1998,76878.0,2801 SLATER RD,MORRISVILLE,27560,JAMES R GLIDEWELL DENTAL CERAMICS INC ,2201 DUPONT DR,IRVINE CA 92612-1515,,13332331,0756283630
FLEX WHSE,1987,76438.0,951 AVIATION PKWY,MORRISVILLE,27560,SBP OFFICE OWNER L.P LIMITED PARTNERSHIP ,1255 23RD ST NW,WASHINGTON DC 20037-1125,,17037790,0755595805
OFC GROSS,1984,76268.0,301 SAS CAMPUS DR,CARY,27513,SAS INSTITUTE INC ,ATTN: ERIN SHARP,100 SAS CAMPUS DR,CARY NC 27513-2414,11412499,0775067453
SCHOOL,1992,76082.0,450 CREECH RD,GARNER,27529,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,14338563,1711858238
OFC GROSS,2003,75396.0,101 J MORRIS COMMONS LN,MORRISVILLE,27560,TOWN HALL COMMONS HOLDINGS LLC ,TRI PROPERTIES LLC,5425 PAGE RD STE 100,DURHAM NC 27703-7009,13223862,0746414491
OFC GROSS,1999,75276.0,5565 CENTERVIEW DR,RALEIGH,27606,5565 CENTERVIEW DRIVE LLC ,95 FROEHLICH FARM BLVD,WOODBURY NY 11797-2930,,9109637,0773928698
SCHOOL,1995,74000.0,1000 OLDE WEATHERSTONE WAY,CARY,27513,WAKE COUNTY BOARD OF EDUCATION ,RE SERVICES DIRECTOR,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,15877138,0754631453
